Message: Iniciamos el keep alive con (10.1.137.159,3005) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.60,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3018) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3029) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3049) | Type: Update. 
Message: El nodo(10.1.137.45,3029) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3015) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3018) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3029) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3049) | Type: Update. 
Message: El nodo(10.1.137.159,3005) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3018) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3029) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3015) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3018) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3029) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3018) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3029) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3049) | Type: Update. 
Message: El nodo(10.1.137.45,3029) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.60,3045) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3018) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3015) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3005) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.60,3049) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3018) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3029) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
